cluster	rank	gene	score	logfoldchange	pvals_adj	pct_nonzero_in_cluster
0	1	TMSB4X	51.418915	2.1338422	0.0	0.0013333333333333333
0	2	TMSB10	47.332962	1.8931698	0.0	0.0006666666666666666
0	3	PRCP	46.224476	3.2402844	0.0	0.0
0	4	RAMP2	44.43118	2.96772	0.0	0.14466666666666667
0	5	APLNR	44.09754	3.7681887	0.0	0.14866666666666667
0	6	GNG11	43.32724	2.522027	0.0	0.0
0	7	COL4A1	43.20605	2.990531	0.0	0.006
0	8	COL4A2	41.0936	2.7150567	0.0	0.002
0	9	ATP5E	40.97954	1.3171943	0.0	0.0
0	10	FKBP1A	40.909683	1.9988278	0.0	0.017333333333333333
0	11	RPS28	40.667793	0.95540327	0.0	0.0006666666666666666
0	12	VAMP5	39.646374	2.211292	0.0	0.014666666666666666
0	13	PECAM1	38.21475	2.5724697	0.0	0.006
0	14	PLVAP	37.99746	2.6648421	0.0	0.0013333333333333333
0	15	CAV1	37.675694	2.3586366	2.196276971976778e-307	0.0
0	16	CD34	37.282433	2.4324663	5.239650992121899e-301	0.0013333333333333333
0	17	PCAT19	37.18187	2.637769	2.090347603034128e-299	0.011333333333333334
0	18	S100A16	35.358067	2.040198	1.11035117113284e-270	0.17666666666666667
0	19	RPS29	34.489475	0.951383	1.6101279447647596e-257	0.004666666666666667
0	20	FABP4	34.0908	2.7471552	1.3386898585420648e-251	0.0006666666666666666
0	21	MARCKSL1	33.770416	1.9165928	6.772594188231425e-247	0.0
0	22	RPS26	33.68713	1.0777631	1.0755845589676018e-245	0.004
0	23	ECSCR-1	33.46592	2.4270473	1.741321330305245e-242	0.09333333333333334
0	24	RPL38	33.20181	0.9367373	1.120221657469861e-238	0.5133333333333333
0	25	TM4SF1	33.170498	2.1472034	3.0424333772860758e-238	0.0
0	26	CDH5	32.931576	2.5677667	7.627579541295642e-235	0.24466666666666667
0	27	RBP7	32.85766	2.6473353	8.386009175681995e-234	0.0
0	28	MYL6	32.79679	1.0295339	5.982724565790556e-233	0.027333333333333334
0	29	RPL10	32.652927	0.7737834	6.437006905488158e-231	0.0
0	30	PTRF	32.622715	1.7216449	1.6714188208688482e-230	0.0006666666666666666
0	31	ENG	32.560585	2.1472106	1.2289700778487967e-229	0.008
0	32	HSPG2	32.39979	2.0205414	2.220693878220351e-227	0.018
0	33	VWF	32.330036	2.2601495	2.0651729330627563e-226	0.020666666666666667
0	34	RPL27A	32.021633	0.9332501	4.1309352172410597e-222	0.38533333333333336
0	35	RPS17	31.704607	1.2402828	9.888837653850842e-218	0.324
0	36	CRIP2	31.634968	1.828451	8.750246831481103e-217	0.054
0	37	COL15A1	31.609419	2.3009229	1.9127373661736006e-216	0.013333333333333334
0	38	EGFL7	31.567183	2.0457652	7.085334466849507e-216	0.0
