fraction	broad_class	n_cells	fraction_total_cells	pct_of_fraction
APCenriched	Activated_APC_like	82	6000	1.37
APCenriched	Activated_DC	32	6000	0.53
APCenriched	B_cell_APC	414	6000	6.9
APCenriched	Cycling_thymocyte	197	6000	3.28
APCenriched	Endothelial	15	6000	0.25
APCenriched	Epithelial_MHC_mixed	3	6000	0.05
APCenriched	Epithelial_stromal_mixed	1	6000	0.02
APCenriched	Fibroblast	11	6000	0.18
APCenriched	Immature_thymocyte	132	6000	2.2
APCenriched	Lymphoid_mixed	69	6000	1.15
APCenriched	Macrophage_APC	167	6000	2.78
APCenriched	Mixed_low_confidence	2251	6000	37.52
APCenriched	Perivascular	8	6000	0.13
APCenriched	TEC_cTEC_like	7	6000	0.12
APCenriched	TEC_mTEC_like	12	6000	0.2
APCenriched	T_cell	2356	6000	39.27
APCenriched	Thymocyte	57	6000	0.95
APCenriched	Thymocyte_mixed	126	6000	2.1
APCenriched	pDC_APC	60	6000	1.0
CD45depleted	Activated_DC	128	6000	2.13
CD45depleted	B_cell_APC	410	6000	6.83
CD45depleted	Contaminant	48	6000	0.8
CD45depleted	Cycling_thymocyte	130	6000	2.17
CD45depleted	Endothelial	791	6000	13.18
CD45depleted	Epithelial_MHC_mixed	1406	6000	23.43
CD45depleted	Epithelial_stromal_mixed	518	6000	8.63
CD45depleted	Fibroblast	532	6000	8.87
CD45depleted	Immature_thymocyte	177	6000	2.95
CD45depleted	Macrophage_APC	155	6000	2.58
CD45depleted	Perivascular	337	6000	5.62
CD45depleted	TEC_cTEC_like	308	6000	5.13
CD45depleted	TEC_mTEC_like	467	6000	7.78
CD45depleted	T_cell	549	6000	9.15
CD45depleted	pDC_APC	44	6000	0.73
unenriched	Activated_APC_like	16	6000	0.27
unenriched	B_cell_APC	27	6000	0.45
unenriched	Cycling_thymocyte	444	6000	7.4
unenriched	Immature_thymocyte	282	6000	4.7
unenriched	Lymphoid_mixed	494	6000	8.23
unenriched	Macrophage_APC	14	6000	0.23
unenriched	Mixed_low_confidence	775	6000	12.92
unenriched	TEC_cTEC_like	1	6000	0.02
unenriched	T_cell	1233	6000	20.55
unenriched	Thymocyte	1499	6000	24.98
unenriched	Thymocyte_mixed	1205	6000	20.08
unenriched	pDC_APC	10	6000	0.17
