broad_class	n_cells	pct_total
Activated_APC_like	98	0.54
Activated_DC	160	0.89
B_cell_APC	851	4.73
Contaminant	48	0.27
Cycling_thymocyte	771	4.28
Endothelial	806	4.48
Epithelial_MHC_mixed	1409	7.83
Epithelial_stromal_mixed	519	2.88
Fibroblast	543	3.02
Immature_thymocyte	591	3.28
Lymphoid_mixed	563	3.13
Macrophage_APC	336	1.87
Mixed_low_confidence	3026	16.81
Perivascular	345	1.92
TEC_cTEC_like	316	1.76
TEC_mTEC_like	479	2.66
T_cell	4138	22.99
Thymocyte	1556	8.64
Thymocyte_mixed	1331	7.39
pDC_APC	114	0.63
