cluster	rank	names	scores	logfoldchanges	pvals	pvals_adj
0	1	RPLP1	31.862322	0.6498498	8.886288018744204e-223	8.559132309843595e-220
0	2	TMSB4X	31.048813	0.7035426	1.183737777329194e-211	8.495291448632516e-209
0	3	RPS12	30.489143	0.60154647	3.6298212108347225e-204	2.214251435629361e-201
0	4	TPT1	29.208961	0.41305232	1.4922324071982023e-187	6.068577592873489e-185
0	5	RPL13	27.71983	0.3986958	4.0275928077406125e-169	1.1083753710986027e-166
0	6	RPS8	26.755154	0.32431984	1.0755305698334015e-157	2.151119911829089e-155
0	7	ACTB	26.517128	0.5856237	6.151374884675769e-155	1.1201317022587951e-152
0	8	RPS23	26.06127	0.29928464	1.0025839653374906e-149	1.6529538610503375e-147
0	9	PTMA	25.9347	0.29567936	2.7057593700953763e-148	4.287164446097873e-146
0	10	RPS3A	24.578056	0.2760359	2.1686181929050767e-133	2.5038988794485395e-131
0	11	RPL18A	23.544743	0.22524673	1.4211259947358176e-122	1.351029416450017e-120
0	12	RPS18	22.683949	0.28628254	6.4532136844151894e-114	5.12351570636183e-112
0	13	RPL28	22.55255	0.2775417	1.2676746095281985e-112	9.768033343861388e-111
0	14	RPS27	22.249807	0.35149914	1.1327741592647584e-109	8.275582236177529e-108
0	15	HIST1H4C	22.11704	1.5661527	2.1668533270123604e-108	1.5490038793355353e-106
0	16	RPS6	21.934322	0.17836735	1.2224715910163066e-106	8.49026237244551e-105
0	17	RPL10	21.909882	0.34502032	2.0912831155664075e-106	1.4442085530725678e-104
0	18	RPL41	21.902594	0.3538868	2.4540898276991166e-106	1.6915657586368244e-104
0	19	TMSB10	21.760887	0.4909024	5.4484260651843985e-105	3.6257789529420756e-103
0	20	RPS15A	21.674915	0.19440329	3.538916088821083e-104	2.3047663303726063e-102
0	21	RPLP0	21.656212	0.26880613	5.3115466256993895e-104	3.4469489015465133e-102
0	22	GAPDH	20.57351	0.4036022	4.7407714867689196e-94	2.5706218842552475e-92
0	23	RPL32	20.54085	0.19294214	9.292337619722089e-94	5.0016007238154134e-92
0	24	EEF1A1	20.298515	0.42002568	1.3252993996206302e-91	6.939525511518554e-90
0	25	RPS3	20.058079	0.057372846	1.7158535739790095e-89	8.674303406243884e-88
0	26	RPS24	19.766829	0.03129952	5.747735218115287e-87	2.7392299051853853e-85
0	27	RPL19	19.373802	0.052696727	1.2841286741078508e-83	5.724773885629896e-82
0	28	RPS13	19.343292	0.013638151	2.321678824449507e-83	1.031259304049471e-81
0	29	RPS4X	18.389465	-0.053792097	1.5954349952874724e-75	6.252089535601368e-74
0	30	RPL39	18.213095	0.034477178	4.0631317552155325e-74	1.5442854140461443e-72
0	31	RPL26	17.878578	-0.008240677	1.7319641259047119e-71	6.263993969588771e-70
0	32	RPS19	17.8492	-0.045305144	2.932093244961826e-71	1.0531653077413915e-69
0	33	RPS14	17.273674	-0.019063583	7.426108026780665e-67	2.5120423279870528e-65
0	34	RPL37	16.133776	-0.069418795	1.4770662333604138e-58	4.304307420957365e-57
0	35	RPL17	14.654521	-0.1866272	1.260416556841871e-48	3.023100026013717e-47
0	36	RPS25	14.531717	-0.17371783	7.6283748593741e-48	1.804823194750817e-46
