section_id	signature	n_genes_requested	n_genes_present	genes_present	mean_score	max_score
S1_A1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.245737	0.750109
S1_A1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.636472	1.680695
S1_A1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	-0.007263	1.387046
S1_A1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.60798	2.444857
S1_A1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.414535	1.610171
S1_A1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.228242	1.036298
S1_A1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	-0.012499	1.348743
S1_A1	sig_pDC_APC	6	6	LILRA4;IL3RA;GZMB;PLD4;IRF7;JCHAIN	-0.033784	0.848182
S1_A1	sig_fibroblast	8	8	COL1A1;COL1A2;COL3A1;COL6A1;COL6A2;DCN;LUM;PTGDS	0.042265	1.912614
S1_A1	sig_endothelial	6	6	PECAM1;VWF;RAMP2;ENG;TM4SF1;SPARCL1	-0.011772	0.962446
S1_A1	sig_perivascular	6	6	MYL9;TAGLN;ACTA2;CALD1;RGS5;PDGFRB	-0.015789	0.833502
S1_A1	sig_T_cell_thymocyte	8	8	CD3D;CD3E;TRAC;CD7;DNTT;RAG1;RAG2;PTCRA	0.532669	1.652793
S1_B1	sig_TEC	4	4	EPCAM;KRT8;KRT18;KRT19	-0.091714	0.970937
S1_B1	sig_cTEC_like	5	5	CCL25;PRSS16;PSMB11;FOXN1;CTSV	0.549418	1.574318
S1_B1	sig_mTEC_like	7	7	KRT5;KRT14;AIRE;FEZF2;CCL19;CALML5;S100A14	0.186156	1.496664
S1_B1	sig_MHCII_AP	6	6	HLA-DRA;HLA-DRB1;HLA-DPA1;HLA-DPB1;CD74;CIITA	0.812351	2.343435
S1_B1	sig_B_cell_APC	6	6	MS4A1;CD79A;CD79B;BANK1;CD74;HLA-DRA	0.550278	1.747021
S1_B1	sig_macrophage_APC	8	8	LYZ;CST3;LST1;C1QA;C1QB;C1QC;AIF1;CD68	0.32112	1.411241
S1_B1	sig_activated_DC	5	5	CCR7;LAMP3;FSCN1;BIRC3;TNFAIP2	-0.104223	1.515834
